timestamp,open,high,low,close
2020-03-10,0.0002,0.0002,0.0002,0.0002
2020-03-06,0.0002,0.0002,0.0002,0.0002
2020-03-04,0.0002,0.0002,0.0002,0.0002
2020-02-28,0.0002,0.0002,0.0002,0.0002
2020-02-24,0.0002,0.0002,0.0002,0.0002
2020-02-18,0.0002,0.0002,0.0002,0.0002
2020-02-17,0.0002,0.0002,0.0002,0.0002
2020-02-14,0.0002,0.0002,0.0002,0.0002
2020-02-13,0.0002,0.0002,0.0002,0.0002
2020-02-12,0.0002,0.0002,0.0002,0.0002
2020-02-11,0.0002,0.0002,0.0002,0.0002
2020-02-10,0.0002,0.0002,0.0002,0.0002
2019-10-28,0.0002,0.0002,0.0002,0.0002
