timestamp,open,high,low,close
2020-03-07,2.5951,2.5951,2.5951,2.5951
2020-03-06,2.5924,2.5992,2.5924,2.5951
2020-03-05,2.5924,2.5944,2.5924,2.5944
2020-03-04,2.5944,2.5992,2.5924,2.5944
2020-03-03,2.5938,2.5992,2.5924,2.5944
2020-03-02,2.5924,2.5992,2.5924,2.5938
2020-03-01,2.5992,2.5992,2.5944,2.5944
2020-02-28,2.5944,2.5992,2.5924,2.5944
2020-02-27,2.5924,2.5992,2.5924,2.5944
2020-02-26,2.5924,2.6046,2.5924,2.5944
2020-02-25,2.5924,2.5992,2.5924,2.5944
2020-02-24,2.5992,2.5992,2.5924,2.5931
2020-02-23,2.5992,2.5992,2.5992,2.5992
2020-02-21,2.5938,2.5992,2.5924,2.5938
2020-02-20,2.5924,2.5944,2.5924,2.5938
2020-02-19,2.5931,2.5992,2.5924,2.5944
2020-02-18,2.5944,2.5992,2.5931,2.5944
2020-02-17,2.5931,2.5992,2.5924,2.5944
2020-02-16,2.5992,2.5992,2.5944,2.5944
2020-02-15,2.5944,2.5944,2.5944,2.5944
2020-02-14,2.5931,2.5992,2.5931,2.5944
2020-02-13,2.5931,2.5992,2.5931,2.5944
2020-02-12,2.5931,2.5992,2.5924,2.5944
2020-02-11,2.5931,2.5992,2.5924,2.5944
2020-02-10,2.5931,2.5992,2.5931,2.5944
2020-02-09,2.5931,2.5944,2.5931,2.5944
2020-02-08,2.5944,2.5944,2.5944,2.5944
2020-02-07,2.5944,2.5992,2.5931,2.5944
2020-02-06,2.5931,2.5944,2.5931,2.5944
2020-02-05,2.5931,2.5992,2.5931,2.5944
2020-02-04,2.5931,2.5944,2.5931,2.5944
2020-02-03,2.5944,2.5992,2.5924,2.5944
2020-02-02,2.5944,2.5944,2.5944,2.5944
2020-02-01,2.5938,2.5938,2.5938,2.5938
2020-01-31,2.5938,2.5938,2.5924,2.5938
2020-01-30,2.5924,2.5992,2.5924,2.5938
2020-01-29,2.5924,2.5992,2.5924,2.5944
2020-01-28,2.5924,2.5992,2.5924,2.5944
2020-01-27,2.5944,2.5992,2.5924,2.5944
2020-01-26,2.5944,2.5944,2.5944,2.5944
2020-01-24,2.5938,2.5992,2.5924,2.5924
2020-01-23,2.5944,2.5992,2.5924,2.5938
2020-01-22,2.5944,2.5992,2.5924,2.5944
2020-01-21,2.5924,2.5992,2.5924,2.5944
2020-01-20,2.5944,2.5992,2.5924,2.5944
2020-01-19,2.5944,2.5944,2.5944,2.5944
2020-01-18,2.5944,2.5944,2.5944,2.5944
2020-01-17,2.5944,2.5992,2.5924,2.5944
2020-01-16,2.5944,2.5944,2.5924,2.5944
2020-01-15,2.5944,2.5992,2.5924,2.5944
2020-01-14,2.5924,2.5944,2.5924,2.5944
2020-01-13,2.5944,2.5992,2.5924,2.5944
2020-01-12,2.5944,2.5944,2.5944,2.5944
2020-01-11,2.5944,2.5944,2.5944,2.5944
2020-01-10,2.5924,2.5992,2.5924,2.5944
2020-01-09,2.5944,2.5992,2.5924,2.5944
2020-01-08,2.5938,2.5944,2.5924,2.5944
2020-01-07,2.5938,2.5938,2.5924,2.5938
2020-01-06,2.5944,2.5992,2.5924,2.5938
2020-01-05,2.5944,2.5944,2.5944,2.5944
2020-01-03,2.5931,2.5992,2.5931,2.5944
2020-01-02,2.5944,2.5944,2.5931,2.5944
2020-01-01,2.5944,2.5992,2.5931,2.5944
2019-12-31,2.5944,2.5992,2.5931,2.5944
2019-12-30,2.5944,2.5944,2.5931,2.5944
2019-12-29,2.5944,2.5944,2.5944,2.5944
2019-12-28,2.5944,2.5944,2.5944,2.5944
2019-12-27,2.5944,2.5992,2.5931,2.5944
2019-12-26,2.5931,2.5992,2.5931,2.5944
2019-12-25,2.5944,2.5944,2.5931,2.5944
2019-12-24,2.5944,2.5944,2.5931,2.5944
2019-12-23,2.5931,2.5944,2.5931,2.5944
2019-12-22,2.5944,2.5944,2.5944,2.5944
2019-12-21,2.5944,2.5944,2.5944,2.5944
2019-12-20,2.5944,2.5992,2.5924,2.5944
2019-12-19,2.5931,2.5944,2.5924,2.5944
2019-12-18,2.5944,2.5944,2.5931,2.5944
2019-12-17,2.5944,2.5944,2.5931,2.5944
2019-12-16,2.5931,2.5944,2.5931,2.5944
2019-12-15,2.5944,2.5944,2.5944,2.5944
2019-12-13,2.5931,2.5992,2.5931,2.5944
2019-12-12,2.5931,2.5944,2.5931,2.5944
2019-12-11,2.5944,2.5944,2.5931,2.5944
2019-12-10,2.5931,2.5992,2.5924,2.5944
2019-12-09,2.5944,2.5944,2.5931,2.5944
2019-12-08,2.5944,2.5944,2.5944,2.5944
2019-12-07,2.5944,2.5944,2.5944,2.5944
2019-12-06,2.5924,2.5992,2.5924,2.5944
2019-12-05,2.5924,2.5992,2.5924,2.5944
2019-12-04,2.5924,2.5992,2.5924,2.5944
2019-12-03,2.5931,2.5992,2.5924,2.5938
2019-12-02,2.5931,2.5992,2.5924,2.5944
2019-12-01,2.5944,2.5944,2.5944,2.5944
2019-11-29,2.5931,2.5992,2.5931,2.5931
2019-11-28,2.5931,2.5992,2.5931,2.5931
2019-11-27,2.5944,2.5951,2.5931,2.5944
2019-11-26,2.5931,2.5992,2.5924,2.5944
2019-11-25,2.6012,2.6012,2.5931,2.5944
2019-11-24,2.6005,2.6005,2.6005,2.6005
2019-11-22,2.5944,2.5944,2.5931,2.5944
