timestamp,open,high,low,close
2020-03-13,0.9995,0.9995,0.9995,0.9995
2020-03-12,0.9995,0.9995,0.9995,0.9995
2020-03-11,0.9995,0.9995,0.9995,0.9995
2020-03-10,0.9995,0.9995,0.9995,0.9995
2020-03-09,0.9995,0.9995,0.9995,0.9995
2020-03-08,0.9995,0.9995,0.9995,0.9995
2020-03-07,0.9995,0.9995,0.9995,0.9995
2020-03-06,0.9995,0.9995,0.9995,0.9995
2020-03-05,0.9995,0.9995,0.9995,0.9995
2020-03-04,0.9995,0.9995,0.9995,0.9995
2020-03-03,0.9995,0.9995,0.9995,0.9995
2020-03-02,0.9995,0.9995,0.9995,0.9995
2020-03-01,0.9995,0.9995,0.9995,0.9995
2020-02-29,0.9995,0.9995,0.9995,0.9995
2020-02-28,0.9995,0.9995,0.9995,0.9995
2020-02-27,0.9995,0.9995,0.9995,0.9995
2020-02-26,0.9995,0.9995,0.9995,0.9995
2020-02-25,0.9995,0.9995,0.9995,0.9995
2020-02-24,0.9995,0.9995,0.9995,0.9995
2020-02-23,0.9995,0.9995,0.9995,0.9995
2020-02-22,0.9995,0.9995,0.9995,0.9995
2020-02-21,0.9995,0.9995,0.9995,0.9995
2020-02-20,0.9995,0.9995,0.9995,0.9995
2020-02-19,0.9995,0.9995,0.9995,0.9995
2020-02-18,0.9995,0.9995,0.9995,0.9995
2020-02-17,0.9995,0.9995,0.9995,0.9995
2020-02-16,0.9995,0.9995,0.9995,0.9995
2020-02-15,0.9995,0.9995,0.9995,0.9995
2020-02-14,0.9995,0.9995,0.9995,0.9995
2020-02-13,0.9995,0.9995,0.9995,0.9995
2020-02-12,0.9995,0.9995,0.9995,0.9995
2020-02-11,0.9995,0.9995,0.9995,0.9995
2020-02-10,0.9995,0.9995,0.9995,0.9995
2020-02-09,0.9995,0.9995,0.9995,0.9995
2020-02-08,0.9995,0.9995,0.9995,0.9995
